Name,Catégorie,E-mail,IBAN,Factures impayés,Montant des impayés,Total achats annuel,Achats réglés (annuel),Achats non réglés (annuel),Encours fournisseur,Total achats,Total factures reçues,Poids du fournisseur dans les charges,Retard moyen fournisseur (jour)
Sacem,Antenne,dl.idf.sudest@sacem.fr,FR7630003013100002032633341,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,NaN
VT Consult,Antenne,sknidler@wanadoo.fr,FR7630004008240001004317837,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,63
Studio Urban,Digital,compta@studiourban.fr,FR7630004034360001000882590,2,€1370.84,"€0,00","€0,00","€0,00",€1370.84,,,,NaN
Radio Espace Mercantour,Diffusion,benjamin.duconge@gmail.com ,FR7619106006404369619709272,2,€2000.00,"€2000,00","€0,00","€2000,00",€2000.00,,,,5
Cabinet Thomas Paris E3M,Charges fiscales et sociales,cabinet.thomasparis@orange.fr,FR7630004005690001005762597,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,1
WinMedia,Logiciel,sophie@winmedia.org,FR7630004011340001012467104,0,€0.00,"€0,00","€0,00","€0,00",€5280.00,,,,5
Towercast,Diffusion,omekuimensi@towercast.fr,FR7630066109470001002960196,5,€2542.15,"€0,00","€0,00","€0,00",€2542.15,,,,90
TDF UG,Diffusion,veronique.davant@tdf.fr,FR7631489000100021913085747,3,€4545.21,"€0,00","€0,00","€0,00",€8378.46,,,,55
TDF E3M,Diffusion,veronique.davant@tdf.fr,FR7631489000100021913085747,5,€7813.15,"€0,00","€0,00","€0,00",€7813.15,,,,132
PGE,Banque,,FR7610207001457021212442166,0,€0.00,"€0,00","€0,00","€0,00",€6129.27,,,,NaN
URSSAF,Charges fiscales et sociales,,FR7610107002280075091310079,0,€0.00,"€0,00","€0,00","€0,00",€6300.00,,,,9
Saooti,Digital,karine@saooti.com,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
SIE,Charges fiscales et sociales,,FR8430001008664766R05000672,2,€1584.00,"€0,00","€0,00","€0,00",€1584.00,,,,4
Cabinet Thomas Paris UG,Charges fiscales et sociales,cabinet.thomasparis@orange.fr,FR7630004005690001005762597,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,1
Appli (via indesradios),Digital,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
Hébergement site (via indesradios),Digital,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
ACPM (via indesradios),Digital,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
Incidents diffusion (via indesradios),Antenne,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
MDMT_HEEAR_TF1 (via Indesradios),Régie,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
INDES_RAD_ACPTE (via indesradios),Régie,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
INDES_CAP_ACPTE (via indesradios),Régie,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
Muzicast (via Indesradios),Logiciel,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,NaN
Cotis_Adherent  (via indesradios),Régie,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,0
Radio Player (via indesradios),Digital,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,NaN
Bouygue Telecom,Télécommunications & abonnements,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,NaN
Free Telecom,Télécommunications & abonnements,,,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,NaN
Matys Guionnet,Salaire,,,0,€0.00,"€0,00","€0,00","€0,00",,,,,0
Intercompte,,,FR7616958000016142020700632,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,NaN
Euromed BP,,aminebenabla@gmail.com,FR7610207001457021212442166,0,€0.00,"€0,00","€0,00","€0,00",€0.00,,,,1767
